Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location
95077-001,1,23-Sep-13,Procurement Opportunity Delivery System (PODS) - User’s Guide,LL,,,\\vault\cslt\products\pods\Help_Documentation\doc.book
95077-002,1,05-May-14,Procurement Opportunity Delivery System (PODS) - Daily Tasks Manual,MH,,,cslt\products\pods\Daily_Tasks_Manual\PODS Task Manual.docx
,,,,,,,
96002-001,1,09-Apr-96,Interrogate and Respond Device (IRD) - Technical Proposal,PTM/RG,,96002 File,/cslt/docs/1996/96002/proposal/technical/body.bk
96002-002,1,09-Apr-96,Interrogate and Respond Device (IRD) - Cost Proposal,PTM/RG,,96002 File,/cslt/docs/1996/96002/proposal/cost/body.book
96002-002,2,14-Apr-96,Interrogate and Respond Device (IRD) - Cost Proposal,PTM/RG,,96002 File,/cslt/docs/1996/96002/proposal/cost/body.book
96002-003,1,19-Apr-96,Interrogate and Respond Device (IRD) - System Design Manual,PTM/RG,,96002 File,/cslt/docs/1996/96002/sdm/body.book
96002-003,2,26-Apr-96,Interrogate and Respond Device (IRD) - System Design Manual,PTM/RG,,96002 File,/cslt/docs/1996/96002/sdm/body.book
96002-003,3,17-May-96,Interrogate and Respond Device (IRD) - System Design Manual,PTM/RG,,96002 File,/cslt/docs/1996/96002/sdm/body.book
96002-004,1,17-May-96,Letter to MaryAnn Long re: Contract Terms & Conditions,PTM,,96002 File,/cslt/docs/1996/96002/letters/Long_M_96-05-17.doc
96002-005,1,27-Jun-96,Letter to MaryAnn Long re: Additional Labour Costs,PTM,,96002 File,/cslt/docs/1996/96002/letters/Long_M_96-06-27.doc
,,,,,,,
96005-001,1,20-Feb-96,Ice Management Services for HMDC - Expression of Interest,WNE,,96005 File,/cslt/docs/1996/96005/expression/96005exp.bk
96005-002,1,16-Aug-96,Ice Management Services for HMDC - Prequalification Questionnaire,WNE/PTM/BOR,,96005 File,/cslt/docs/1996/96005/pre-qual/prequal.bk
96005-003,1,14-Jan-97,HMDC Network Expansion Proposal,LB,,96005 File,/cslt/docs/1996/96005/network.doc
96005-004,1,30-Jan-97,Letter to Laurie Davidson Regarding CIDAS issues,BOR,,96005 File,/cslt/docs/1996/96005/letters/start_up.doc
96005-005,1,03-Feb-97,Letter to John McClintock regarding Connectivity Issues,RWT,,96005 File,/cslt/docs/1996/96005/letters/96005-005.doc
96005-006,1,28-Feb-97,Ice Management Plan (Compusult Sections),PTM/WNE,,96005 File,/cslt/docs/1996/96005/imp/imp.doc
96005-007,1,11-Feb-97,Letter to Laurie Davidson regarding contractual issues,PTM,,96005 File,/cslt/docs/1996/96005/letters/96005-007.doc
96005-008,1,26-Feb-97,Letter to John McClintock regarding people and rates,BOR,,96005 File,/cslt/docs/1996/96005/letters/rates.doc
96005-009,1,26-Feb-97,Letter to John McClintock regarding proposed ice products,BOR,,96005 File,/cslt/docs/1996/96005/letters/ice_prod.doc
96005-010,1,28-Mar-97,HMDC Environmental Data Management - System Requirements Specification,BOR,,96005 File,/cslt/docs/1996/96005/srs/srs.bk
96005-011,1,30-Apr-97,ICE 101: Ice ManagementProcedures for Support Vessel Personnel,PTM/WNE,,Wayne’s Office,/cslt/docs/1996/96005/training/cover.doc
96005-012,1,30-Apr-97,ICE 106: Ice ManagementProcedures for Ice Specialists,PTM/WNE,,Wayne’s Office,/cslt/docs/1996/96005/training/cover.doc
96005-013,1,20-May-97,Platform Ice Management System (PIMS) - User’s Manual,WNE/RJ/BOR,,Wayne’s Office,/cslt/docs/cidas/manuals/windows_nt/pims_um/doc.bk
96005-013,2,23-Jan-98,Platform Ice Management System (PIMS) - User’s Manual,DY/WNE/RJ/BOR,,Wayne’s Office,/cslt/docs/cidas/manuals/windows_nt/pims_um/doc.bk
96005-013,2.1,05-Feb-98,Platform Ice Management System (PIMS) - User’s Manual,DY/WNE/RJ/BOR,,Wayne’s Office,/cslt/docs/cidas/manuals/windows_nt/pims_um/doc.bk
96005-013,3,13-Mar-00,Platform Ice Management System (PIMS) - User’s Manual,AS/WNE/,,Wayne’s Office,/cslt/docs/cidas/manuals/windows_nt/pims_um/doc.bk
96005-014,1,20-May-97,ICE 102: Ice ManagementProcedures for Helicopter Personnel,WNE,,Wayne’s Office,/cslt/docs/1996/96005/training/heli_cover.doc
96005-015,1,16-Oct-97,Quote for performing firewall changes requested by HMDC,BOR,,96005 File,/cslt/docs/1996/96005/letters/firewall.doc
96005-016,1,05-Nov-97,Quote for implementing product definitions (CPs 017 & 018) requested by Seaborne.,WNE,,96005 File,/cslt/docs/1996/96005/letters/prod_def_quote.doc
96005-017,1,04-Feb-98,Letter to John McClintock regarding status of requested changes.,BOR,,96005 File,/cslt/docs/1996/96005/letters/pims_changes.doc
96005-018,1,11-Feb-99,"Quotation for implementing the changes specified in e-mail from John McClintock dated February 8, 1999",WNE/LB,,96005 File,/cslt/docs/1996/96005/letters/96005-018.doc
96005-019,1,16-Feb-99,Letter to Dave Robbins re: CIDAS Y2K compliance.,BOR,,96005 File,/cslt/docs/1996/96005/letters/96005-019.doc
96005-020,1,14-May-99,"Revised quotation for implementing the changes specified in e-mail from John McClintock dated February 8, 1999",WNE/BOR,,96005 File,/cslt/docs/1996/96005/letters/96005-020.doc
96005-021,1,04-Nov-99,"Quotation for implementing Y2K upgrades, e-mail communication of wx reports, switchable data focus. and end-to-end testing of new configuration plus Y2K testing.",WNE,,96005 File,/cslt/docs/1996/96005/letters/96005-021.doc
96005-022,1,12-Feb-01,Letter to John McClintock regarding CIDAS network and availability issues,WNE/BOR,,96005 File,/cslt/docs/1996/96005/letters/96005-022.doc
